model,rmse,mae,dir_acc,cls_acc,f1_macro,params
naive,5.7339,4.5387,,0.2079,0.1148,0
gru-default,5.6245,4.408,0.6025,0.2079,0.1148,15553
gru-tuned,5.6108,4.3916,0.6025,0.2079,0.1149,6724
