"Ticker","Name","Sector","Asset Class","Market Value","Weight (%)","Notional Value","Quantity","Price","Location","Exchange","Currency","FX Rate","Accrual Date"
"RY","ROYAL BANK OF CANADA","Financials","Equity","24742376.86","0.30731","24742376.86","127255","194.43","Canada","Toronto Stock Exchange","USD","1.39175","--"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","24401957.96","0.30308","24401957.96","85669","284.84","United States","NYSE","USD","1","--"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","23720127.66","0.29461","23720127.66","83211","285.06","United States","NASDAQ","USD","1","--"
"KLAC","KLA CORP","Information Technology","Equity","23121462","0.28718","23121462","11985","1929.2","United States","NASDAQ","USD","1","--"
"MS","MORGAN STANLEY","Financials","Equity","23011147.47","0.28581","23011147.47","108579","211.93","United States","NYSE","USD","1","--"
"GEV","GE VERNOVA INC","Industrials","Equity","23011619.28","0.28581","23011619.28","24648","933.61","United States","NYSE","USD","1","--"
"WFC","WELLS FARGO","Financials","Equity","22979827.18","0.28542","22979827.18","280447","81.94","United States","NYSE","USD","1","--"
"NESN","NESTLE SA","Consumer Staples","Equity","22766747.84","0.28277","22766747.84","234930","96.91","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"RTX","RTX CORP","Industrials","Equity","22265389.8","0.27655","22265389.8","123020","180.99","United States","NYSE","USD","1","--"
"SHEL","SHELL PLC","Energy","Equity","22181151.19","0.2755","22181151.19","513394","43.21","United Kingdom","London Stock Exchange","USD","0.74702","--"
"LIN","LINDE PLC","Materials","Equity","21510580.8","0.26717","21510580.8","42352","507.9","United States","NASDAQ","USD","1","--"
"SIE","SIEMENS N AG","Industrials","Equity","21187968.8","0.26316","21187968.8","68193","310.7","Germany","Xetra","USD","0.86513","--"
"QCOM","QUALCOMM INC","Information Technology","Equity","21066458.58","0.26166","21066458.58","97557","215.94","United States","NASDAQ","USD","1","--"
"C","CITIGROUP INC","Financials","Equity","20707577.93","0.2572","20707577.93","156319","132.47","United States","NYSE","USD","1","--"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","20533797.92","0.25504","20533797.92","77936","263.47","United States","NASDAQ","USD","1","--"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","20165434.2","0.25046","20165434.2","74124","272.05","United States","NASDAQ","USD","1","--"
