ticker,sector,industry,marketCap,enterpriseValue,ebitda,netIncomeToCommon,freeCashflow,bookValue,sharesOutstanding,totalDebt,totalCash,totalAssets,grossProfits,operatingCashflow,returnOnAssets,returnOnEquity,operatingMargins,grossMargins,currentRatio,debtToEquity,totalRevenue,revenueGrowth,earningsGrowth,interestExpense,enterprise_value,book_value_total,net_debt,ebitda_yield,earnings_yield,fcf_yield,book_yield,gp_a,fcf_ni,revenue_cagr_3y,fcf_cagr_3y,revenue_trend_ols,fcf_trend_ols,delta_gross_margin,asset_growth,share_dilution,dn_ebitda,interest_coverage,cfo_debt,roce
MMM,Industrials,Conglomerates,83680256000,91037253632.0,6240000000.0,2787000064.0,2322374912.0,6.256,521567261,13127999488.0,5818999808.0,37733000000.0,9937999872.0,2959000064.0,0.08118,0.71458,0.23316999,0.39714,1.594,3.96497,25024000000.0,0.013,-0.397,,91037253632.0,4702000000.0,7308999680.0,0.0685433682481675,0.0333053482054357,0.027752961367613408,0.05619007666515743,0.26337688156255795,0.8332884315283604,-0.01570080136859997,-0.286419972636918,-0.01465292041398289,-0.4301252170733937,0.0050885138515581185,-0.053551720678238185,0.0,1.1713140512820512,5.453488372093023,0.2253961136047235,0.1833463643471462
AOS,Industrials,Specialty Industrial Machinery,8644611072,9097611264.0,795299968.0,527600000.0,495612512.0,13.625,111965465,656899968.0,203900000.0,3142800000.0,1477699968.0,707500032.0,0.12775,0.28267,0.17111,0.38764998,1.558,0.34981,3811899904.0,-0.019,-0.105,,9097611264.0,1858000000.0,452999968.0,0.0874185481135106,0.061032242585083184,0.05733196182825332,0.21493158969500484,0.4701858113783887,0.9393717058377559,0.006729784443180398,0.19357792785343153,0.00509210095050803,0.11364902506963788,0.034143172109830366,-0.03,-1.0494434030292835e-08,0.5695963614071213,53.97037037037037,1.077028568221821,0.3195193614875236
ABT,Healthcare,Medical Devices,166168969216,193649901568.0,11744000000.0,6252000256.0,6341125120.0,29.889,1741813154,34136000512.0,7295000064.0,86713000000.0,25501999104.0,9464000512.0,0.0559,0.123339996,0.13472,0.56503,1.388,0.6477299999999999,45134000128.0,0.078,-0.197,,193649901568.0,52130000000.0,26841000448.0,0.060645525274775854,0.03762435480882799,0.038160705635462464,0.31371681635839704,0.29409660724458847,1.0142554159230028,0.005127944169646348,-0.017784072013788288,0.009094330745706893,0.0009771130068773723,0.0026843071269927465,0.06508708575920603,0.0026728436634351335,2.28550753133515,18.17241379310345,0.2772439761557032,0.12759018471310365
ABBV,Healthcare,Drug Manufacturers - General,461256622080,524821594112.0,29915000832.0,3595000064.0,20811624448.0,-3.767,1766792821,72912003072.0,9390999552.0,133960000000.0,45246001152.0,21223999488.0,0.10032,-1.0993883987767583,0.32156,0.72026,0.796,-22.29724864587156,62819000320.0,0.124,-0.462,,524821594112.0,,63521003520.0,0.05700032385789363,0.00779392618319198,0.04511940523293007,,0.33775754816363096,5.789047031293738,0.017525049181538188,-0.09764361948343492,0.019722795019707133,-0.11481978574391762,0.0023165843000911845,-0.008885699277158352,0.0038677414805550294,2.123382976879337,3.2803318354649154,0.291090610513628,0.10466411531801789
ACN,Technology,Information Technology Services,84050247680,83884597248.0,12943767552.0,7789751808.0,12089380864.0,52.121,611942109,8388769792.0,10171567104.0,65394897000.0,23401748480.0,13182094336.0,0.10903,0.24406,0.16964,0.32013,1.339,0.25035,73100591104.0,0.056,0.09,,83884597248.0,31195446000.0,-1782797312.0,0.1543044608503334,0.0926797008101333,0.14383516048670375,0.37115233876250725,0.3578528226751393,1.5519596980720647,0.04193654176414818,0.07216179167121783,0.03845269472568203,0.06188584491225164,-0.0007202219365392004,0.16917815540888198,-0.021591695272862442,-0.13773403337458204,47.43273172759292,1.5713977928648348,0.2406819291873507
ADBE,Technology,Software - Application,87338696704,88789696512.0,9729000448.0,7229000192.0,9218374656.0,28.867,397500000,7077000192.0,5625999872.0,29496000000.0,22528000000.0,10481000448.0,0.19926001,0.62953997,0.35327998,0.89404,0.751,0.61443,25198000128.0,0.127,0.079,,88789696512.0,11623000000.0,1451000320.0,0.10957352970212166,0.08276972825115354,0.1055474263285842,0.1330796134889849,0.763764578247898,1.2751935829523906,0.10522339932516123,0.10029506958590018,0.10006197669190292,0.10353366809094595,0.01564477565307798,-0.024280516043665233,0.0,0.14914176720983538,34.20912547528517,1.4809947949200226,0.4662624378109453
AMD,Technology,Semiconductors,844357632000,835881598976.0,7430000128.0,4931999744.0,7173374976.0,39.547,1630600639,3871000064.0,12346999808.0,76926000000.0,19872999424.0,9724999680.0,0.03647,0.08063,0.14396,0.5306,2.725,6.005,37454000128.0,0.378,0.912,,835881598976.0,62999000000.0,-8475999744.0,0.00888881886753118,0.005841126505030513,0.008495659545361935,0.07461174934935627,0.2583391756233263,1.4544556667357362,0.13643599335368428,0.29308334009308634,0.13577245677334707,0.3631578947368421,0.045903785508219885,0.11122988472539219,0.008928571428571428,-1.1407805650040495,32.603053435114504,2.512270606875402,0.06330127017533459
AES,Utilities,Utilities - Diversified,10397839360,48381841408.0,3755000064.0,1380000000.0,-2964999936.0,6.198,713157713,31804000256.0,1651000064.0,51768000000.0,2409999872.0,4961999872.0,0.027139999,0.052600004,0.18742001,0.19299999,0.73,2.5960300000000003,12487000064.0,0.087,9.511,,48381841408.0,4063000000.0,30153000192.0,0.07761176413965727,0.13271988075799623,0.0,0.3907542576229991,0.046553853191160566,-2.1485506782608694,-0.010249740650209005,,-0.012386537071250703,0.021549769333020566,-0.02120913070143471,0.09201366915580306,0.00014720312886164018,8.030093123321981,1.0533049040511726,0.156018105648955,0.03424530917829744
AFL,Financial Services,Insurance - Life,61526093824,67720093696.0,5880000000.0,4636000256.0,4923125248.0,58.686,508984904,14464000000.0,8270000128.0,116470000000.0,9064999936.0,2934000128.0,0.03088,0.16469,0.29567,0.50049996,0.935,0.48276,18112000000.0,0.279,38.6,,67720093696.0,29490000000.0,6193999872.0,0.08682799563739103,0.07535014768305666,0.08001686669859082,0.4793088292645126,0.07783120061818494,1.0619337739743213,-0.03229187547440737,,-0.0273971131252098,,,-0.00932242314955004,0.0008446574678112537,1.0534013387755101,21.604545454545455,0.20284846017699115,
A,Healthcare,Diagnostics & Research,36911030272,38646030336.0,2015000064.0,1414000000.0,930625024.0,25.236,282431944,3542000128.0,1807000064.0,12727000000.0,3807000064.0,1452000000.0,0.08613,0.21330999,0.23706,0.52641,2.099,0.49733,7232000000.0,0.1,0.6,,38646030336.0,6741000000.0,1735000064.0,0.052139897590541495,0.038308331942515116,0.025212653701133732,0.18262833495367356,0.2991278434823603,0.6581506534653465,0.004844098070605929,0.04105956570895941,-0.00033899554147168284,0.023266932270916335,-0.019192808795915228,0.07437109572851595,-0.0074989004551727955,0.8610421880363771,13.8125,0.40993787338451504,0.14903660886319847
